battery_id,start_cycle,end_cycle,target_RUL
B5,19,28,140.0
B5,20,29,139.0
B5,21,30,138.0
B5,22,31,137.0
B5,23,32,136.0
B5,24,33,135.0
B5,25,34,134.0
B5,26,35,133.0
B5,27,36,132.0
B5,28,37,131.0
B5,29,38,130.0
B5,30,39,129.0
B5,31,40,128.0
B5,32,41,127.0
B5,33,42,126.0
B5,34,43,125.0
B5,35,44,124.0
B5,36,45,123.0
B5,37,46,122.0
B5,38,47,121.0
B5,39,48,120.0
B5,40,49,119.0
B5,41,50,118.0
B5,42,51,117.0
B5,43,52,116.0
B5,44,53,115.0
B5,45,54,114.0
B5,46,55,113.0
B5,47,56,112.0
B5,48,57,111.0
B5,49,58,110.0
B5,50,59,109.0
B5,51,60,108.0
B5,52,61,107.0
B5,53,62,106.0
B5,54,63,105.0
B5,55,64,104.0
B5,56,65,103.0
B5,57,66,102.0
B5,58,67,101.0
B5,59,68,100.0
B5,60,69,99.0
B5,61,70,98.0
B5,62,71,97.0
B5,63,72,96.0
B5,64,73,95.0
B5,65,74,94.0
B5,66,75,93.0
B5,67,76,92.0
B5,68,77,91.0
B5,69,78,90.0
B5,70,79,89.0
B5,71,80,88.0
B5,72,81,87.0
B5,73,82,86.0
B5,74,83,85.0
B5,75,84,84.0
B5,76,85,83.0
B5,77,86,82.0
B5,78,87,81.0
B5,79,88,80.0
B5,80,89,79.0
B5,81,90,78.0
B5,82,91,77.0
B5,83,92,76.0
B5,84,93,75.0
B5,85,94,74.0
B5,86,95,73.0
B5,87,96,72.0
B5,88,97,71.0
B5,89,98,70.0
B5,90,99,69.0
B5,91,100,68.0
B5,92,101,67.0
B5,93,102,66.0
B5,94,103,65.0
B5,95,104,64.0
B5,96,105,63.0
B5,97,106,62.0
B5,98,107,61.0
B5,99,108,60.0
B5,100,109,59.0
B5,101,110,58.0
B5,102,111,57.0
B5,103,112,56.0
B5,104,113,55.0
B5,105,114,54.0
B5,106,115,53.0
B5,107,116,52.0
B5,108,117,51.0
B5,109,118,50.0
B5,110,119,49.0
B5,111,120,48.0
B5,112,121,47.0
B5,113,122,46.0
B5,114,123,45.0
B5,115,124,44.0
B5,116,125,43.0
B5,117,126,42.0
B5,118,127,41.0
B5,119,128,40.0
B5,120,129,39.0
B5,121,130,38.0
B5,122,131,37.0
B5,123,132,36.0
B5,124,133,35.0
B5,125,134,34.0
B5,126,135,33.0
B5,127,136,32.0
B5,128,137,31.0
B5,129,138,30.0
B5,130,139,29.0
B5,131,140,28.0
B5,132,141,27.0
B5,133,142,26.0
B5,134,143,25.0
B5,135,144,24.0
B5,136,145,23.0
B5,137,146,22.0
B5,138,147,21.0
B5,139,148,20.0
B5,140,149,19.0
B5,141,150,18.0
B5,142,151,17.0
B5,143,152,16.0
B5,144,153,15.0
B5,145,154,14.0
B5,146,155,13.0
B5,147,156,12.0
B5,148,157,11.0
B5,149,158,10.0
B5,150,159,9.0
B5,151,160,8.0
B5,152,161,7.0
B5,153,162,6.0
B5,154,163,5.0
B5,155,164,4.0
B5,156,165,3.0
B5,157,166,2.0
B5,158,167,1.0
B5,159,168,0.0
B6,1,10,158.0
B6,2,11,157.0
B6,3,12,156.0
B6,4,13,155.0
B6,5,14,154.0
B6,6,15,153.0
B6,7,16,152.0
B6,8,17,151.0
B6,9,18,150.0
B6,10,19,149.0
B6,11,20,148.0
B6,12,21,147.0
B6,13,22,146.0
B6,14,23,145.0
B6,15,24,144.0
B6,16,25,143.0
B6,17,26,142.0
B6,18,27,141.0
B6,19,28,140.0
B6,20,29,139.0
B6,21,30,138.0
B6,22,31,137.0
B6,23,32,136.0
B6,24,33,135.0
B6,25,34,134.0
B6,26,35,133.0
B6,27,36,132.0
B6,28,37,131.0
B6,29,38,130.0
B6,30,39,129.0
B6,31,40,128.0
B6,32,41,127.0
B6,33,42,126.0
B6,34,43,125.0
B6,35,44,124.0
B6,36,45,123.0
B6,37,46,122.0
B6,38,47,121.0
B6,39,48,120.0
B6,40,49,119.0
B6,41,50,118.0
B6,42,51,117.0
B6,43,52,116.0
B6,44,53,115.0
B6,45,54,114.0
B6,46,55,113.0
B6,47,56,112.0
B6,48,57,111.0
B6,49,58,110.0
B6,50,59,109.0
B6,51,60,108.0
B6,52,61,107.0
B6,53,62,106.0
B6,54,63,105.0
B6,55,64,104.0
B6,56,65,103.0
B6,57,66,102.0
B6,58,67,101.0
B6,59,68,100.0
B6,60,69,99.0
B6,61,70,98.0
B6,62,71,97.0
B6,63,72,96.0
B6,64,73,95.0
B6,65,74,94.0
B6,66,75,93.0
B6,67,76,92.0
B6,68,77,91.0
B6,69,78,90.0
B6,70,79,89.0
B6,71,80,88.0
B6,72,81,87.0
B6,73,82,86.0
B6,74,83,85.0
B6,75,84,84.0
B6,76,85,83.0
B6,77,86,82.0
B6,78,87,81.0
B6,79,88,80.0
B6,80,89,79.0
B6,81,90,78.0
B6,82,91,77.0
B6,83,92,76.0
B6,84,93,75.0
B6,85,94,74.0
B6,86,95,73.0
B6,87,96,72.0
B6,88,97,71.0
B6,89,98,70.0
B6,90,99,69.0
B6,91,100,68.0
B6,92,101,67.0
B6,93,102,66.0
B6,94,103,65.0
B6,95,104,64.0
B6,96,105,63.0
B6,97,106,62.0
B6,98,107,61.0
B6,99,108,60.0
B6,100,109,59.0
B6,101,110,58.0
B6,102,111,57.0
B6,103,112,56.0
B6,104,113,55.0
B6,105,114,54.0
B6,106,115,53.0
B6,107,116,52.0
B6,108,117,51.0
B6,109,118,50.0
B6,110,119,49.0
B6,111,120,48.0
B6,112,121,47.0
B6,113,122,46.0
B6,114,123,45.0
B6,115,124,44.0
B6,116,125,43.0
B6,117,126,42.0
B6,118,127,41.0
B6,119,128,40.0
B6,120,129,39.0
B6,121,130,38.0
B6,122,131,37.0
B6,123,132,36.0
B6,124,133,35.0
B6,125,134,34.0
B6,126,135,33.0
B6,127,136,32.0
B6,128,137,31.0
B6,129,138,30.0
B6,130,139,29.0
B6,131,140,28.0
B6,132,141,27.0
B6,133,142,26.0
B6,134,143,25.0
B6,135,144,24.0
B6,136,145,23.0
B6,137,146,22.0
B6,138,147,21.0
B6,139,148,20.0
B6,140,149,19.0
B6,141,150,18.0
B6,142,151,17.0
B6,143,152,16.0
B6,144,153,15.0
B6,145,154,14.0
B6,146,155,13.0
B6,147,156,12.0
B6,148,157,11.0
B6,149,158,10.0
B6,150,159,9.0
B6,151,160,8.0
B6,152,161,7.0
B6,153,162,6.0
B6,154,163,5.0
B6,155,164,4.0
B6,156,165,3.0
B6,157,166,2.0
B6,158,167,1.0
B6,159,168,0.0
